date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:09:22	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://cheryllao.me/robots.txt		(from )
19:09:23	99337/99337	---M-Z	200	added ('OK')	text/html	etag:W/%22654073f8-18409%22	https://cheryllao.me/	C:/My%20Web%20Sites/por%20sa/cheryllao.me/index.html	(from )
19:09:23	106362/106362	---M--	200	added ('OK')	image/jpeg	etag:%22654073f8-19f7a%22	https://cheryllao.me/images/reza.jpg	C:/My%20Web%20Sites/por%20sa/cheryllao.me/images/reza.jpg	(from https://cheryllao.me/)
19:09:23	122540/122540	---M-Z	200	added ('OK')	text/css	etag:W/%22654073f8-1deac%22	https://cheryllao.me/css/bootstrap.min.css	C:/My%20Web%20Sites/por%20sa/cheryllao.me/css/bootstrap.min.css	(from https://cheryllao.me/)
19:09:23	1597/1597	---M-Z	200	added ('OK')	text/css	etag:W/%22654073f8-63d%22	https://cheryllao.me/css/owl.carousel.css	C:/My%20Web%20Sites/por%20sa/cheryllao.me/css/owl.carousel.css	(from https://cheryllao.me/)
19:09:23	1691/1691	---M-Z	200	added ('OK')	text/css	etag:W/%22654073f8-69b%22	https://cheryllao.me/css/owl.theme.css	C:/My%20Web%20Sites/por%20sa/cheryllao.me/css/owl.theme.css	(from https://cheryllao.me/)
19:09:24	7806/7806	---M-Z	200	added ('OK')	text/css	etag:W/%22654073f8-1e7e%22	https://cheryllao.me/css/magnific-popup.css	C:/My%20Web%20Sites/por%20sa/cheryllao.me/css/magnific-popup.css	(from https://cheryllao.me/)
19:09:24	26137/26137	---M-Z	200	added ('OK')	text/css	etag:W/%22654073f8-6619%22	https://cheryllao.me/css/style.css	C:/My%20Web%20Sites/por%20sa/cheryllao.me/css/style.css	(from https://cheryllao.me/)
19:09:24	1915/1915	---M-Z	200	added ('OK')	text/css	etag:W/%22654073f8-77b%22	https://cheryllao.me/css/responsive.css	C:/My%20Web%20Sites/por%20sa/cheryllao.me/css/responsive.css	(from https://cheryllao.me/)
19:09:24	1325299/1325299	---MCZ	200	added ('OK')	application/javascript	etag:W/%22664f1ba9-1438f3%22	https://aframe.io/releases/1.4.0/aframe.min.js	C:/My%20Web%20Sites/por%20sa/aframe.io/releases/1.4.0/aframe.min.js	(from https://cheryllao.me/)
19:09:25	4298/4298	---M--	200	added ('OK')	image/png	etag:%22654073f8-10ca%22	https://cheryllao.me/images/logo-big.png	C:/My%20Web%20Sites/por%20sa/cheryllao.me/images/logo-big.png	(from https://cheryllao.me/)
19:09:25	99337/99337	---M-Z	200	added ('OK')	text/html	etag:W/%22654073f8-18409%22	https://cheryllao.me/index.html	C:/My%20Web%20Sites/por%20sa/cheryllao.me/index-2.html	(from https://cheryllao.me/)
19:09:25	4642/4642	---M--	200	added ('OK')	image/png	etag:%22654073f8-1222%22	https://cheryllao.me/images/logo.png	C:/My%20Web%20Sites/por%20sa/cheryllao.me/images/logo.png	(from https://cheryllao.me/)
19:09:25	227218/227218	---M--	200	added ('OK')	application/pdf	etag:%22654073f8-37792%22	https://cheryllao.me/Cheryl_Lao_Resume.pdf	C:/My%20Web%20Sites/por%20sa/cheryllao.me/Cheryl_Lao_Resume.pdf	(from https://cheryllao.me/)
19:09:26	166802/166802	---M--	200	added ('OK')	application/pdf	etag:%22654073f8-28b92%22	https://cheryllao.me/Cheryl_Lao_CV.pdf	C:/My%20Web%20Sites/por%20sa/cheryllao.me/Cheryl_Lao_CV.pdf	(from https://cheryllao.me/)
19:09:26	749/749	---M-Z	200	added ('OK')	text/html	etag:W/%22654073f8-2ed%22	https://cheryllao.me/artistStatement.html	C:/My%20Web%20Sites/por%20sa/cheryllao.me/artistStatement.html	(from https://cheryllao.me/)
19:09:26	5006577/5006577	---M--	200	added ('OK')	image/gif	etag:%22654073f8-4c64f1%22	https://cheryllao.me/images/CherylRaytraced.gif	C:/My%20Web%20Sites/por%20sa/cheryllao.me/images/CherylRaytraced.gif	(from https://cheryllao.me/)
19:09:26	332398/332398	---M--	200	added ('OK')	image/png	etag:%22654073f8-5126e%22	https://cheryllao.me/images/IdyllicIsland.PNG	C:/My%20Web%20Sites/por%20sa/cheryllao.me/images/IdyllicIsland.png	(from https://cheryllao.me/)
